adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,budget,revenue,tagline,homepage,genres
False,/zOpe0eHsq0A2NvNyBbtT6sj53qV.jpg,"[28, 878, 35, 10751]",939243,en,Sonic the Hedgehog 3,"Sonic, Knuckles e Tails se reúnem contra um novo e poderoso adversário, Shadow, um vilão misterioso com poderes diferentes de tudo que eles já enfrentaram antes. Com suas habilidades superadas em todos os sentidos, a Equipe Sonic deve buscar uma aliança improvável na esperança de parar Shadow e proteger o planeta.",5620.604,/tfM1T6tAivjvy0sLwt6Y9WvlmzB.jpg,2024-12-19,Sonic 3: O Filme,False,7.8,1644,122000000,471749087,Nova aventura. Novo rival.,https://www.movieid.com/sonic3,"28, 878, 35, 10751"
False,/v9Du2HC3hlknAvGlWhquRbeifwW.jpg,"[28, 12, 53]",539972,en,Kraven the Hunter,"Sergei Kravinoff é um grande caçador, que toma um soro mágico que lhe dá habilidades sobre-humanas e uma vida mais longa.",3123.858,/pWvQsP9o1MQ4vQNjpL9QeYFXKOs.jpg,2024-12-11,Kraven: O Caçador,False,6.6,1132,120000000,59184643,Vilões não nascem. Se criam.,Sem site oficial,"28, 12, 53"
False,/rVlwDjh8Fw8m6HVJR7KRWmRdPZl.jpg,"[16, 12, 10751, 35]",1241982,en,Moana 2,"Depois de receber um chamado inesperado de seus ancestrais navegadores, Moana vai viajar para mares distantes da Oceania, em águas perdidas em uma aventura perigosa.",2592.759,/ulVUcVy919yt3IJKtmiJBzf4Kqt.jpg,2024-11-21,Moana 2,False,7.2,1376,150000000,1038220920,Encontre o seu caminho. Encontre a sua força. Encontre a sua vocação.,Sem site oficial,"16, 12, 10751, 35"
False,/xZm5YUNY3PlYD1Q4k7X8zd2V4AK.jpg,"[28, 35]",993710,en,Back in Action,"Quinze anos depois de abandonar a CIA para formar uma família, os ex-agentes de elite Matt e Emily voltam ao mundo da espionagem ao terem seus disfarces revelados.",2134.078,/m4gzzzeYRmrwasrBdJmjhBmjS3U.jpg,2025-01-15,De Volta à Ação,False,6.628,857,0,0,Eles estão vivendo sua melhor mentira.,https://www.netflix.com/br/title/81307099,"28, 35"
False,/qSOMdbZ6AOdHR999HWwVAh6ALFI.jpg,"[28, 80, 53]",1249289,en,Alarum,"Dois espiões desonestos saem da rede, casam-se e são atacados no seu esconderijo de cabine remota por várias agências de informação que procuram um disco rígido roubado.",1766.016,/6XVIRVQICfefW8UrjHVasraEgou.jpg,2025-01-16,Código Alarum,False,5.836,140,20000000,0,Sem slogan,Sem site oficial,"28, 80, 53"
False,/u7AZ5CdT2af8buRjmYCPXNyJssd.jpg,"[28, 35]",1160956,zh,熊猫计划,O astro de ação internacional Jackie Chan está envolvido em uma operação de resgate de um adorado panda do zoológico chamado Hu Hu.,1683.17,/rO62kjEpxKoi22euZlM11o2hRJe.jpg,2024-10-01,Operação Panda,False,6.2,37,0,42333207,Sem slogan,Sem site oficial,"28, 35"
False,/ybSA7fUbYHw8VeRiSJ7tgKJnYWZ.jpg,"[28, 53]",1410082,en,Sniper: The Last Stand,,1612.644,/TVvIyCsFCmLk9MRLbAZi4X8f32.jpg,2025-01-21,Sniper: The Last Stand,False,6.6,71,0,0,Sem slogan,Sem site oficial,"28, 53"
False,/eHu1ZxFPmqyhnait9VdsOQBEFOk.jpg,"[27, 53]",710295,en,Wolf Man,"Um homem deve proteger a si mesmo e sua família quando eles são perseguidos, aterrorizados e assombrados por um lobisomem mortal à noite durante a lua cheia. Mas conforme a noite avança, o homem começa a se comportar de forma estranha.",1521.794,/nCZI9WCRaiWq6NcSulsgGsJPUDK.jpg,2025-01-15,Lobisomem,False,6.4,267,25000000,33189773,Sem slogan,Sem site oficial,"27, 53"
False,/lWMa1FdgC7zP9ATVg6dgpZ3rxhe.jpg,"[12, 10751, 16]",762509,en,Mufasa: The Lion King,"Mufasa, um filhote órfão, perdido e sozinho, conhece um simpático leão chamado Taka, herdeiro de uma linhagem real. O encontro ao acaso dá início a uma grande jornada de um grupo extraordinário de deslocados em busca de seu destino, além de revelar a ascensão de um dos maiores reis das Terras do Orgulho.",1499.197,/iMVuv6Gz5fj7vZ51IjRF3AiW87y.jpg,2024-12-18,Mufasa: O Rei Leão,False,7.4,981,200000000,671834432,Órfão. Forasteiro. Rei.,Sem site oficial,"12, 10751, 16"
False,/vZG7PrX9HmdgL5qfZRjhJsFYEIA.jpg,"[28, 878, 12]",912649,en,Venom: The Last Dance,"Eddie e Venom estão fugindo. Perseguidos pelos dois mundos, a dupla é forçada a tomar uma decisão devastadora que vai fechar as cortinas da última rodada de Venom e Eddie.",1311.467,/jQ92em8SMpu0ufGUtZNVlvxO4Qr.jpg,2024-10-22,Venom: A Última Rodada,False,6.779,2739,120000000,478103649,Até que a morte os separe.,Sem site oficial,"28, 878, 12"
False,/euYIwmwkmz95mnXvufEmbL6ovhZ.jpg,"[28, 12, 18]",558449,en,Gladiator II,"Anos depois de testemunhar a trágica morte do reverenciado herói Maximus nas mãos de seu tio malvado, Lucius se vê forçado a lutar no Coliseu depois que sua terra natal é conquistada por dois imperadores tirânicos, que agora governam Roma. Com o coração ardendo de raiva e o destino do Império pendurado por um fio, Lucius deve enfrentar perigos e inimigos, redescobrindo em seu passado a força e a honra necessárias para trazer a glória de Roma de volta ao seu povo. Prepare-se para uma jornada épica de coragem e vingança na sangrenta arena do Coliseu.",1229.783,/342bly9MqveL65TnEFzx8TTUxcL.jpg,2024-11-05,Gladiador 2,False,6.8,2743,310000000,458718000,Um novo legado de rebelião vai começar.,Sem site oficial,"28, 12, 18"
False,/h7r6LZ32dgLwtwSW3CxoWIYD9pr.jpg,"[27, 14]",426063,en,Nosferatu,"Um conto gótico de obsessão entre uma jovem assombrada na Alemanha do século XIX e o antigo vampiro da Transilvânia que a persegue, trazendo consigo um horror incalculável.",1189.734,/fbkUfzmVzEBFSt6p7VigknREIJT.jpg,2024-12-25,Nosferatu,False,6.7,1982,50000000,173394574,Sem slogan,Sem site oficial,"27, 14"
False,/1Lk8rgG16Ec0RviE8mcLzLKonql.jpg,"[28, 18]",811941,te,దేవర: Part 1,"Uma saga épica de ação ambientada em terras costeiras, que narra incidentes emocionantes e carregados de emoção na linha do tempo periódica, e cujo protagonista é o salvador dos desfavorecidos e o terror dos malfeitores.",1067.539,/reL2aDdytm4bfKSyMeUm3hwgOw5.jpg,2024-09-26,Devara: Rei dos Mares - Parte 1,False,7.2,118,24000000,54000000,Sem slogan,Sem site oficial,"28, 18"
False,/hctfNoMpQGfn3VXdBYb9p0P5bT5.jpg,[18],1097549,en,Babygirl,"Uma executiva bem-sucedida coloca sua família e carreira em risco se envolver com seu estagiário bem mais jovem.  No thriller erótico de Halina Reijn, Romy (Nicole Kidman) é uma executiva que conquistou seu posto como CEO com muita dedicação. O mesmo se aplica a sua família e o casamento com Jacob (Antonio Banderas). Tudo o que construiu é posto à prova quando ela embarca em um caso tórrido e proibido com seu estagiário Samuel (Harris Dickinson), que é muito mais jovem. A partir daí ela anda corda bamba de suas responsabilidades e, também, nas dinâmicas de poder que envolvem suas relações.",1021.698,/47AmmkY5Vo4ODLueXUksEin0aWw.jpg,2024-12-25,Babygirl,False,5.757,414,20000000,47756311,Em breve você terá o que deseja.,Sem site oficial,18
False,/9oYdz5gDoIl8h67e3ccv3OHtmm2.jpg,"[27, 878, 35]",933260,en,The Substance,"Já sonhou com uma versão melhor de si mesmo? Continuará sendo você, só que melhor em todos os sentidos. Então, você deveria experimentar este novo produto: A Substância. MUDOU A MINHA VIDA.",1019.191,/vWeOgzlhnP1sS23H3rzctGHB9Nb.jpg,2024-09-07,A Substância,False,7.139,3744,17500000,76506196,"Se você seguir as instruções, o que pode dar errado?",https://mubi.com/pt/br/films/the-substance,"27, 878, 35"
False,/3SOunz2Z0qcOVlrkYFj20HquziB.jpg,"[878, 12, 28, 18, 10770]",1114894,en,Star Trek: Section 31,"A Imperatriz Philippa Georgiou entra para uma divisão secreta da Frota Estelar. Com a missão de proteger a Federação dos Planetas Unidos, ela também deve enfrentar os erros de seu passado.",1004.175,/eW1F4mCDLx0ydW8PlMq0uqvVDty.jpg,2025-01-15,Star Trek: Seção 31,False,4.639,137,0,0,Sem slogan,Sem site oficial,"878, 12, 28, 18, 10770"
False,/cA88pwGnHa64BBcU3R1oCcJH9Qc.jpg,"[28, 27, 53]",970450,en,Werewolves,Dois cientistas tentam impedir uma mutação que transforma pessoas em lobisomens após serem tocadas por uma superlua no ano anterior.,977.004,/7CCTW7IALnbp7vRtaZaz11kva0v.jpg,2024-12-04,Werewolves,False,6.213,279,0,1052998,Sem slogan,Sem site oficial,"28, 27, 53"
